x;l;r01;r03
0,4277;-0,006150798;-0,10;0,30
-0,3269;-0,144847932;-0,06;0,60
-0,2324;-0,108767261;0,02;0,18
-0,6292;-0,161762896;0,14;-0,24
-0,9642;0,37801481;0,13;-0,25
0,0604;-0,015529039;-0,13;-0,22
0,7277;0,044030673;-0,04;0,21
0,5122;-0,007632606;-0,02;-0,17
0,5161;-0,007542757;-0,19;-0,15
0,7613;0,065207751;0,10;-0,62
0,4751;-0,007671555;0,00;-0,25
0,6882;0,024876151;-0,19;0,27
0,8030;0,098699478;-0,10;-0,01
-0,9643;0,378331624;0,11;-0,39
0,6664;0,01663928;0,01;0,13
0,8961;0,208391796;0,00;0,41
0,4118;-0,005400305;0,02;-0,12
0,9907;0,382091556;-0,09;-0,23
-0,0645;-0,047119521;-0,02;0,17
0,9306;0,263592581;-0,13;-0,20
0,1189;-0,006492963;-0,19;0,19
-0,0308;-0,037045227;0,09;0,19
0,7521;0,058925214;-0,14;-0,19
0,5263;-0,0072179;-0,18;-0,06
0,3253;-0,000979938;-0,14;-0,39
-0,9160;0,23864644;-0,07;-0,35
0,6993;0,029682376;-0,07;-0,19
-0,1466;-0,075511725;0,02;-0,01
-0,5510;-0,183165707;-0,02;-0,09
0,8779;0,182672406;-0,01;-0,10
-0,7312;-0,087946309;0,04;0,06
-0,1781;-0,087474485;-0,01;0,24
0,2540;0,000905875;0,07;0,03
0,2825;0,000496208;-0,01;-0,19
0,0999;-0,009014306;0,12;0,18
0,6096;0,001716042;-0,12;0,15
-0,0221;-0,034619696;0,14;-0,52
0,2914;0,000264743;0,09;0,17
0,7788;0,078230714;-0,12;0,14
0,9544;0,306949763;-0,00;-0,61
0,6997;0,029863661;0,08;-0,25
-0,5406;-0,184194404;0,02;0,23
0,6056;0,000975666;-0,01;0,13
0,6618;0,015093812;0,02;0,03
0,7621;0,065772053;0,09;-0,23
-0,9772;0,420203484;-0,14;0,22
-0,4970;-0,184646192;-0,12;0,34
0,8394;0,135360718;0,00;0,04
0,2064;0,000237291;0,15;-0,02
0,2689;0,000758361;0,10;0,09
